书名,作者,评分,评价,评价人数,出版日期,单价,URL
悟空传,今何在 ,8.4,猴子还是那个猴子，世界早已不是原来的世界,63294, 2001-4 , 14.80元,https://book.douban.com/subject/1003000/
兄弟（上）,余华 ,8.3,历史苦难中的个人灾变,60077, 2005-8 , 16.00元,https://book.douban.com/subject/1401425/
呼啸山庄,艾米莉·勃朗特 ,8.4,近乎暴虐的爱与恨，中文译名后无来者,59856, 1999-1 , 27.30元,https://book.douban.com/subject/1119522/
笑傲江湖（全四册）,金庸 ,9.0,武侠的壳，政治斗争的核,52200, 1994-5 , 76.80元,https://book.douban.com/subject/1002299/
少有人走的路,[美] M·斯科特·派克 ,8.4,成熟的心智通向更完善的自我,58458, 2007-1 , 26.00元,https://book.douban.com/subject/1775691/
民主的细节,刘瑜 ,8.6,公民养成手册,55608, 2009-6 , 25.00,https://book.douban.com/subject/3813669/
亲爱的安德烈,龙应台 ,8.7,龙应台母子对话，两代人的思想碰撞,56875, 2008-12 , 26.00,https://book.douban.com/subject/3369793/
灿烂千阳,[美] 卡勒德·胡赛尼 ,8.8,唯有希望与爱可以驱散阴霾,56476, 2007-9 , 28.00元,https://book.douban.com/subject/2143732/
老人与海,海明威 ,8.3,正是悲壮赋予生活以意义,57686, 1999-10 , 8.20元,https://book.douban.com/subject/1064275/
遇见未知的自己,张德芬 ,8.1,都市灵修速成,55921, 2008-1 , 29.00,https://book.douban.com/subject/2340100/
一九八四·动物农场,[英] 乔治·奥威尔 ,9.3,一个预言和一个寓言，令人窒息的政治恐怖,25328, 2003-4 , 23.00元,https://book.douban.com/subject/1082387/
牧羊少年奇幻之旅,[巴西]保罗·柯艾略 ,8.6,你自己就是最大的宝藏,58634, 2009-3-1 , 25.00元,https://book.douban.com/subject/3608208/
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 ,9.2,侦探小说鼻祖,50005, 53.00元,68.00元,https://book.douban.com/subject/1040211/
小时代1.0折纸时代,郭敬明 ,6.5,温习了很多奢侈品品牌名称,61958, 2008-10 , 29.80元,https://book.douban.com/subject/3191328/
洛丽塔,[美] 弗拉基米尔·纳博科夫 ,7.7,我的生命之光，我的欲望之火,56262, 2005-12 , 27.00元,https://book.douban.com/subject/1465324/
百年孤独,[哥伦比亚] 加西亚·马尔克斯 ,8.9,拉丁美洲圣经,48544, 1989-10 , 12.70元,https://book.douban.com/subject/1786670/
1Q84 BOOK 2,[日] 村上春树 ,8.4,情节铺展渐次清明，高潮序曲,52382, 2010-6 , 36.00元,https://book.douban.com/subject/4885241/
素年锦时,安妮宝贝 ,7.8,呢喃自语，清简自持,52529, 2007-9 , 27.00元,https://book.douban.com/subject/2256438/
情书,[日] 岩井俊二 ,8.6,一场误会中的两段爱情，东方式的含蓄隐忍,49888, 2004-7 , 18.00元,https://book.douban.com/subject/1080370/
第一次的亲密接触,蔡智恒 ,7.4,那时候，去麦当劳约会还很高端……,53404, 1999-11-1 , 12.80,https://book.douban.com/subject/1024217/
神雕侠侣,金庸 ,8.8,至情至性，情大于武,47460, 1994-5 , 76.80元,https://book.douban.com/subject/1255624/
一座城池,韩寒 ,7.4,可能是韩寒最好笑的小说,53125, 2006-1 , 19.90元,https://book.douban.com/subject/1453210/
茶花女,小仲马 ,8.2,妓女应当拥有爱情吗？,51822, 1997-3 , 9.00元,https://book.douban.com/subject/1013380/
麦田里的守望者,[美国] J. D. 塞林格 ,7.9,塞林格的麦田里，到处是坠落的青春,53032, 1997-2 , 7.80元,https://book.douban.com/subject/1082518/
他的国,韩寒 ,7.5,总有光芒将你引导到清澈的地方,51396, 2009-1 , 25.00元,https://book.douban.com/subject/3394338/
彼岸花,安妮宝贝 ,7.8,安妮宝贝第一部长篇，现实与虚构的重合,48993, 2001-9 , 20.00元,https://book.douban.com/subject/1065970/
西决,笛安 ,7.9,无关风月的非典型青春小说,48784, 2009-3 , 22.80元,https://book.douban.com/subject/3598313/
东方快车谋杀案,[英] 阿加莎·克里斯蒂 ,9.0,谋杀诡计惊人，波洛的抉择耐人寻味,41577, 2006-5 , 18.00元,https://book.douban.com/subject/1827374/
挪威的森林,[日] 村上春树 ,8.5,初读是色情，再读是爱情，三读是世情,52393, 2007-7 , 23.00元,https://book.douban.com/subject/2159042/
这些都是你给我的爱,文：安东尼 ,8.4,只言片语的温暖,45059, 2010-3 , 24.80元,https://book.douban.com/subject/4714734/
这些人，那些事,吴念真 ,8.8,平淡叙述下的惊心动魄,44404, 2011-9 , 28.00元,https://book.douban.com/subject/6388661/
八月未央,安妮宝贝 ,7.5,八月是一阵季风，生命是一场幻觉,48739, 2001-1 , 16.00元,https://book.douban.com/subject/1029159/
当我谈跑步时我谈些什么,[日] 村上春树 ,8.1,村上同志告诉我们，身体是革命的本钱,48236, 2009-1 , 25.00,https://book.douban.com/subject/3369600/
明朝那些事儿（贰）,当年明月 ,8.9,万国来朝与北京保卫战，燃,43938, 2007-1 , 24.80,https://book.douban.com/subject/1949338/
清醒纪,安妮宝贝 ,7.9,遗忘就和记得一样是送给彼此的纪念,45352, 2004-10 , 22.00元,https://book.douban.com/subject/1030052/
一个陌生女人的来信,[奥] 斯台芬·茨威格 ,8.7,暗恋的极致,47294, 2007-7 , 20.00元,https://book.douban.com/subject/2154960/
蔡康永的说话之道,蔡康永 著 ,7.1,会说话的人运气都不会太差,50638, 2010-10 , 25.00元,https://book.douban.com/subject/5317075/
偷影子的人,(法)马克·李维 ,7.8,为偷来的影子找到光芒,56008, 2012-6-20 , 29.80元,https://book.douban.com/subject/10763902/
陪安东尼度过漫长岁月,安东尼 ,8.3,真正的片段式写作,43244, 2008-3 , 18.00,https://book.douban.com/subject/3014576/
沉默的大多数,王小波 ,9.1,沉默是沉默者的通行证,44708, 1997-10 , 27.00元,https://book.douban.com/subject/1054685/
白鹿原,陈忠实 ,8.6,中国乡村史诗,46703, 1997-12 , 28.00元,https://book.douban.com/subject/1085799/
芒果街上的小屋,[美国] 桑德拉·希斯内罗丝 ,7.8,那些微尘般漂浮的生活,44918, 2006-6 , 24.50元,https://book.douban.com/subject/1794620/
羊脂球,（法）莫泊桑 ,8.1,资产阶级的道貌岸然,45059, 2007-6 , 13.50元,https://book.douban.com/subject/1205370/
鲁滨逊漂流记,[英] 笛福 ,8.0,最早的荒野求生,46312, 2002-1 , 9.20元,https://book.douban.com/subject/1016003/
灌篮高手31,[日] 井上雄彦 ,9.5,全剧终,27251, 2005-1 , 7.50元,https://book.douban.com/subject/1221515/
撒哈拉的故事,三毛 ,9.2,游荡的自由灵魂,40106, 2003-8 , 15.80元,https://book.douban.com/subject/1060068/
巴黎圣母院,[法]雨果 ,8.3,潜藏于残缺下的美与崇高,43673, 1982-6 , 22.50元,https://book.douban.com/subject/1024197/
肖申克的救赎,[美] 斯蒂芬·金 ,9.1,希望让人自由，电影实在太有名,40785, 2006-7 , 29.90元,https://book.douban.com/subject/1829226/
麦田里的守望者,[美国] J. D. 塞林格 ,8.1,反英雄霍尔顿的一生,44111, 2007-3 , 28.00元,https://book.douban.com/subject/2053249/
无声告白,[美] 伍绮诗 ,8.2,莉迪亚死了，可他们还不知道,51198, 2015-7 , 35.00元,https://book.douban.com/subject/26382433/
嫌疑人X的献身,（日）东野圭吾 ,9.0,东野说，这是最纯粹的爱情,40360, 2009年11月 , 19.80元,https://book.douban.com/subject/4117922/
山楂树之恋,艾米 ,7.8,明净单纯,41483, 2007-9 , 25.00元,https://book.douban.com/subject/2243213/
华胥引（全二册）,唐七公子 ,8.4,现实不如梦中的圆满,40651, 2011-1 , 39.80元,https://book.douban.com/subject/5916880/
地下铁,幾米 ,8.3,黑暗世界中的点滴亮光,39900, 2002-2 , 32.00元,https://book.douban.com/subject/1056733/
且听风吟,[日] 村上春树 ,7.8,我们通过孤独与世界沟通,43646, 2001-8 , 11.80元,https://book.douban.com/subject/1039752/
钢铁是怎样炼成的,[苏] 尼·奥斯特洛夫斯基 ,7.6,激情燃烧的岁月，特殊年代的经典,45172, 1996-10 , 20.00元,https://book.douban.com/subject/1013502/
红玫瑰与白玫瑰,张爱玲 ,8.4,蚊子血还是饭黏子？,41504, 1996-06 , 12.80元,https://book.douban.com/subject/1014278/
人生若只如初见,安意如 ,7.2,是“何事秋风悲画扇”，不是西风,43829, 2006-8 , 23.80元,https://book.douban.com/subject/1856285/
人间失格,太宰治 ,8.3,令人无从怜悯的绝望,49651, 2009年9月 , 16.00元,https://book.douban.com/subject/4011670/
鬼吹灯之精绝古城,天下霸唱 ,8.1,盗墓祖师名不虚传,41243, 2006 , 25.0,https://book.douban.com/subject/1882933/
安徒生童话故事集,（丹麦）安徒生 ,9.2,远不是童话那么简单,36490, 1997-08 , 25.00,https://book.douban.com/subject/1046209/
呐喊,鲁迅 ,8.8,新文学的第一声呐喊,39015, 1973年3月 , 0.36元,https://book.douban.com/subject/1449351/
小团圆,张爱玲 ,7.6,自传性作品，团圆只存在幻灭之中,41642, 2009-4 , 28.00,https://book.douban.com/subject/3616310/
泡沫之夏,明晓溪 ,6.9,霸道总裁爱上我,43257, 2006-3 , 20.00元,https://book.douban.com/subject/1596305/
会有天使替我爱你,明晓溪 ,6.6,理想化,44254, 2005-5 , 20.00元,https://book.douban.com/subject/1291760/
1984,[英] 乔治·奥威尔 ,9.3,栗树荫下，我出卖你，你出卖我,46586, 2010-4-1 , 28.00,https://book.douban.com/subject/4820710/
年华是无效信,落落 ,7.6,女生间的微妙友谊,39665, 2005-2 , 20.00元,https://book.douban.com/subject/1227838/
幻夜,〔日〕东野圭吾 ,7.5,《白夜行》续篇，恶的幻夜吞噬一切,45112, 2009年9月 , 28.00元,https://book.douban.com/subject/4009552/
在路上,[美] 杰克·凯鲁亚克 ,7.8,我们非去不可，在到达之前，永不停止,39421, 2006-10 , 28.00元,https://book.douban.com/subject/1917972/
射雕英雄传（全四册）,金庸 ,8.9,侠之大者，为国为民,34041, 1999-04 , 47.00元,https://book.douban.com/subject/1044547/
明朝那些事儿（1-9）,当年明月 ,9.1,不拘一格的历史书写,39940, 2009-4 , 358.20元,https://book.douban.com/subject/3674537/
月亮忘記了,幾米 ,8.6,月明星稀的晚上，看不见的，看见了,35917, 2000-2-1 , NT$ 299,https://book.douban.com/subject/1358873/
明朝那些事儿（叁）,当年明月 ,8.9,圣人般的王守仁，大娱乐家朱厚照,36559, 2007-4 , 24.80,https://book.douban.com/subject/2052448/
哭泣的骆驼,三毛 ,8.9,沙漠中寻常的生与死,30933, 2003-6 , 15.80元,https://book.douban.com/subject/1029111/
原来你还在这里,辛夷坞 ,7.6,还在的只有回忆,39009, 2007-10 , 25.00元,https://book.douban.com/subject/2331434/
半生缘,张爱玲 ,8.6,世钧，我们回不去了,38133, 2006-12 , 28.00元,https://book.douban.com/subject/1963684/
此间的少年,江南 ,8.4,象牙塔里的金庸群侠,36263, 2004-1 , 25.00元,https://book.douban.com/subject/1020459/
货币战争,宋鸿兵 编著 ,7.2,无所不能的罗斯柴尔德家族,40185, 2007-6 , 38.00元,https://book.douban.com/subject/2081876/
佳期如梦,匪我思存 ,7.9,玛丽苏成人童话,36458, 2007-2 , 20.00元,https://book.douban.com/subject/1962929/
人类简史,[以色列]尤瓦尔·赫拉利 ,9.1,,48189, 2014-11-1 , CNY 68.00,https://book.douban.com/subject/25985021/
无人生还,[英] 阿加莎・克里斯蒂 ,8.9,童谣杀人案,37763, 2008-3 , 19.00,https://book.douban.com/subject/3006581/
一個人住第5年,高木直子 ,8.4,独居生活之乐,35238, 2004-12-1 , NT$220,https://book.douban.com/subject/1346815/
了不起的盖茨比,菲茨杰拉德 ,8.3,梦，就像黛西家的那一缕绿光,39707, 2004-06 , 12.00元,https://book.douban.com/subject/1008988/
