Date : 2022-04-20 12:08:35
Directory : d:\xampp\htdocs\orderfood
Total : 121 files,  16633 codes, 617 comments, 719 blanks, all 17969 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\xampp\htdocs\orderfood\mobility\mobilityback_20212022s.php        | PHP        |         90 |          0 |          3 |         93 |
| d:\xampp\htdocs\orderfood\mobility\submit_hesuan_0315pic.php         | PHP        |         28 |          0 |          1 |         29 |
| d:\xampp\htdocs\orderfood\mobility\submit_mobility_20212022s.php     | PHP        |         49 |          0 |          1 |         50 |
| d:\xampp\htdocs\orderfood\mobility\submit_mobilityback_20212022s.php | PHP        |         52 |          0 |          1 |         53 |
| d:\xampp\htdocs\orderfood\mycustomer.php                             | PHP        |        175 |          2 |          4 |        181 |
| d:\xampp\htdocs\orderfood\ok.html                                    | HTML       |         12 |          0 |          1 |         13 |
| d:\xampp\htdocs\orderfood\plusfromnotzero.php                        | PHP        |         27 |          0 |          2 |         29 |
| d:\xampp\htdocs\orderfood\plusfromzero.php                           | PHP        |         27 |          0 |          2 |         29 |
| d:\xampp\htdocs\orderfood\savetofile.php                             | PHP        |         14 |          1 |          1 |         16 |
| d:\xampp\htdocs\orderfood\set_firstcafe.php                          | PHP        |         50 |          0 |          1 |         51 |
| d:\xampp\htdocs\orderfood\set_password.php                           | PHP        |         42 |          0 |          1 |         43 |
| d:\xampp\htdocs\orderfood\set_secondcafe.php                         | PHP        |         50 |          0 |          1 |         51 |
| d:\xampp\htdocs\orderfood\sql\test.sql                               | SQL        |         10 |          0 |          2 |         12 |
| d:\xampp\htdocs\orderfood\sql\view_foodrnicaculator.sql              | SQL        |         57 |          0 |          0 |         57 |
| d:\xampp\htdocs\orderfood\sql\view_nutritioncaculator.sql            | SQL        |        318 |          0 |          0 |        318 |
| d:\xampp\htdocs\orderfood\sql\view_variable.sql                      | SQL        |        150 |          0 |          7 |        157 |
| d:\xampp\htdocs\orderfood\sql\view_variable2.sql                     | SQL        |          5 |          0 |          0 |          5 |
| d:\xampp\htdocs\orderfood\studentlogin.php                           | PHP        |         42 |          0 |          3 |         45 |
| d:\xampp\htdocs\orderfood\test.ipynb                                 | JSON       |        214 |          0 |          1 |        215 |
| d:\xampp\htdocs\orderfood\test.php                                   | PHP        |         72 |          0 |          6 |         78 |
| d:\xampp\htdocs\orderfood\test2.php                                  | PHP        |         47 |          3 |          2 |         52 |
| d:\xampp\htdocs\orderfood\test2b.php                                 | PHP        |         47 |          3 |          3 |         53 |
| d:\xampp\htdocs\orderfood\test3.php                                  | PHP        |          8 |          1 |          1 |         10 |
| d:\xampp\htdocs\orderfood\testcmd.php                                | PHP        |          7 |          1 |          1 |          9 |
| d:\xampp\htdocs\orderfood\testserver.py                              | Python     |          1 |          0 |          1 |          2 |
| d:\xampp\htdocs\orderfood\uploadimg-1.php                            | PHP        |         58 |         28 |          8 |         94 |
| d:\xampp\htdocs\orderfood\uploadimg.php                              | PHP        |         58 |         28 |          8 |         94 |
