排名,影片名词,主演,上演时间,得分,电影海报URL
37,被嫌弃的松子的一生,"主演：中谷美纪,永山瑛太,伊势谷友介",2006-05-27(日本),8.5,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
38,死亡诗社,"主演：罗宾·威廉姆斯,伊桑·霍克,罗伯特·肖恩·莱纳德",1989-06-02(加拿大),8.7,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
39,三块广告牌,"主演：弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔",2018-03-02,8.6,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
40,请以你的名字呼唤我,"主演：提莫西·查拉梅,艾米·汉莫,迈克尔·斯图巴",2017-01-22(美国),8.0,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
41,闻香识女人,"主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23(美国),8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
42,疯狂动物城,"主演：金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",2016-03-04,9.5,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
43,心灵奇旅,"主演：杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德",2020-12-25,9.2,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
44,机器人总动员,"主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008-06-27(美国),9.3,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
45,末代皇帝,"主演：尊龙,陈冲,彼得·奥图尔",1987-10-04(日本),8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
46,西西里的美丽传说,"主演：莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳",2000-10-26 00:00:00(意大利),8.2,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
